ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,l_ipn
2006-08-29,6.380747206661526,4.35580767111558,7.989194102420433,6.380747206661526,6.380747206661526,-0.19163884300658507,-0.19163884300658507,-0.19163884300658507,-0.19163884300658507,-0.19163884300658507,-0.19163884300658507,0.0,0.0,0.0,6.189108363654941,8
2006-08-30,6.401757059226446,4.3611642874103485,8.083516725719873,6.401757059226446,6.401757059226446,-0.12403440518090941,-0.12403440518090941,-0.12403440518090941,-0.12403440518090941,-0.12403440518090941,-0.12403440518090941,0.0,0.0,0.0,6.277722654045537,8
2006-08-31,6.422766911791367,4.3451936363258135,8.109166196937919,6.422766911791367,6.422766911791367,-0.18643409065556768,-0.18643409065556768,-0.18643409065556768,-0.18643409065556768,-0.18643409065556768,-0.18643409065556768,0.0,0.0,0.0,6.236332821135799,8
2006-09-01,6.443776764351284,4.326650473311209,8.18150110109514,6.443776764351284,6.443776764351284,-0.14510867070380565,-0.14510867070380565,-0.14510867070380565,-0.14510867070380565,-0.14510867070380565,-0.14510867070380565,0.0,0.0,0.0,6.298668093647478,8
2006-09-02,6.464786616911201,5.413250429538006,9.18286630428852,6.464786616911201,6.464786616911201,0.7776451022142957,0.7776451022142957,0.7776451022142957,0.7776451022142957,0.7776451022142957,0.7776451022142957,0.0,0.0,0.0,7.242431719125497,8
2006-09-03,6.485796469472771,3.4945001128450714,7.2670602396591155,6.485796469472771,6.485796469472771,-1.049014739670967,-1.049014739670967,-1.049014739670967,-1.049014739670967,-1.049014739670967,-1.049014739670967,0.0,0.0,0.0,5.436781729801805,8
2006-09-04,6.506806322034341,5.570749013043759,9.243436312292381,6.506806322034341,6.506806322034341,0.9185856469973782,0.9185856469973782,0.9185856469973782,0.9185856469973782,0.9185856469973782,0.9185856469973782,0.0,0.0,0.0,7.425391969031719,8
2006-09-05,6.527816174595912,4.462631337773625,8.131315431998623,6.527816174595912,6.527816174595912,-0.19163884300594963,-0.19163884300594963,-0.19163884300594963,-0.19163884300594963,-0.19163884300594963,-0.19163884300594963,0.0,0.0,0.0,6.336177331589962,8
2006-09-06,6.548826027154558,4.473924688406136,8.296022296903006,6.548826027154558,6.548826027154558,-0.12403440518255515,-0.12403440518255515,-0.12403440518255515,-0.12403440518255515,-0.12403440518255515,-0.12403440518255515,0.0,0.0,0.0,6.424791621972003,8
2006-09-07,6.569835879713205,4.496559992235526,8.220485380965295,6.569835879713205,6.569835879713205,-0.18643409065386868,-0.18643409065386868,-0.18643409065386868,-0.18643409065386868,-0.18643409065386868,-0.18643409065386868,0.0,0.0,0.0,6.383401789059336,8
2006-09-08,6.59084573227185,4.594937400638818,8.296242563484098,6.59084573227185,6.59084573227185,-0.14510867070065867,-0.14510867070065867,-0.14510867070065867,-0.14510867070065867,-0.14510867070065867,-0.14510867070065867,0.0,0.0,0.0,6.445737061571191,8
