date,l_ipn,f,rolling_mean,rolling_std,upper_limit,anomaly,lag_1,lag_3,lag_7,pct_change,rolling_max,rolling_min,momentum,deviation_from_mean,z_score,anomaly_int,consecutive_anomalies,day_of_week,is_weekend,anomaly_isoforest,risk_score
2006-08-24,8,1925,1125.142857142857,976.903343661563,3078.9495444659833,False,414.0,2046.0,223.0,3.64975845410628,2447.0,8.0,1511.0,799.8571428571429,0.8187679363154733,0,0.0,3,0,0,1.1990083912369855
2006-08-25,8,470,1191.142857142857,901.5498560019527,2994.2425691467624,False,1925.0,2447.0,8.0,-0.7558441558441559,2447.0,414.0,-1455.0,-721.1428571428571,-0.7998923679517193,0,0.0,4,0,0,0.4689233677441407
2006-08-26,8,3052,1552.857142857143,1078.057578637218,3708.972300131579,False,470.0,414.0,520.0,5.493617021276596,3052.0,414.0,2582.0,1499.142857142857,1.3905962658617677,0,0.0,5,1,0,1.8601129483707677
2006-08-27,8,1250,1657.7142857142858,992.7179381686942,3643.150162051674,False,3052.0,1925.0,516.0,-0.59043250327654,3052.0,414.0,-1802.0,-407.7142857142858,-0.4107050612577443,0,0.0,6,1,0,0.2913548972593455
2006-08-28,8,1103,1523.0,995.2252676320734,3513.4505352641468,False,1250.0,470.0,2046.0,-0.11760000000000004,3052.0,414.0,-147.0,-420.0,-0.4220150044814985,0,0.0,0,0,0,0.17710525156852447
2006-08-29,8,1929,1449.0,932.3418543288358,3313.6837086576716,False,1103.0,3052.0,2447.0,0.7488667271078875,3052.0,414.0,826.0,480.0,0.5148326149073411,0,0.0,1,0,0,0.36740809699454124
2006-08-30,8,491,1460.0,918.446151569776,3296.892303139552,False,1929.0,1250.0,414.0,-0.7454639709694142,3052.0,470.0,-1438.0,-969.0,-1.055042789164494,0,0.0,2,0,0,0.5556309689499264
2006-08-31,8,1137,1347.4285714285713,900.0608974106241,3147.5503662498195,False,491.0,1103.0,1925.0,1.315682281059063,3052.0,470.0,646.0,-210.42857142857133,-0.23379370184396867,0,0.0,3,0,0,0.41074836591015473
2006-09-01,8,1173,1447.857142857143,821.6447789995027,3091.1467008561485,False,1137.0,1929.0,470.0,0.0316622691292876,3052.0,491.0,36.0,-274.8571428571429,-0.3345206426633946,0,0.0,4,0,0,0.12499779221451
2006-09-02,8,2749,1404.5714285714287,725.3945724323312,2855.360573436091,False,1173.0,491.0,3052.0,1.3435635123614662,2749.0,491.0,1576.0,1344.4285714285713,1.8533755337964453,0,0.0,5,1,0,0.9845723149191223
2006-09-03,8,7,1227.0,900.5346560053453,3028.0693120106907,False,2749.0,1137.0,1250.0,-0.9974536194979993,2749.0,7.0,-2742.0,-1220.0,-1.35475073426297,0,0.0,6,1,0,0.7235261618665394
2006-09-04,8,1705,1313.0,915.3425588270212,3143.685117654042,False,7.0,1173.0,1103.0,242.57142857142858,2749.0,7.0,1698.0,392.0,0.42825496524468865,0,0.0,0,0,0,60.79274638069279
2006-09-05,8,383,1092.142857142857,928.3597414385267,2948.8623400199103,False,1705.0,2749.0,1929.0,-0.775366568914956,2749.0,7.0,-1322.0,-709.1428571428571,-0.7638664386774792,0,0.0,1,0,0,0.4611948957658567
2006-09-06,8,722,1125.142857142857,907.2964286956101,2939.7357145340775,False,383.0,7.0,491.0,0.885117493472585,2749.0,7.0,339.0,-403.1428571428571,-0.44433422192469113,0,0.0,2,0,0,0.3767963510417881
2006-09-07,8,1244,1140.4285714285713,908.430121536205,2957.288814500981,False,722.0,1705.0,1137.0,0.7229916897506925,2749.0,7.0,522.0,103.57142857142867,0.1140114412500648,0,0.0,3,0,0,0.2206519268751958
2006-09-08,8,4724,1647.7142857142858,1632.5350138445945,4912.784313403475,False,1244.0,383.0,1173.0,2.797427652733119,4724.0,7.0,3480.0,3076.285714285714,1.8843612353510857,0,0.0,4,0,0,1.3588833455561597
2006-09-09,8,737,1360.2857142857142,1582.6816603774862,4525.649035040687,False,4724.0,722.0,2749.0,-0.8439881456392887,4724.0,7.0,-3987.0,-623.2857142857142,-0.3938162208810152,0,0.0,5,1,0,0.3488327137181775
2006-09-10,8,17,1361.7142857142858,1581.2604375714236,4524.235160857133,False,737.0,1244.0,7.0,-0.9769335142469471,4724.0,17.0,-720.0,-1344.7142857142858,-0.8504065777270046,0,0.0,6,1,0,0.5418756807661884
2006-09-11,8,1132,1279.857142857143,1575.3479434261947,4430.553029709532,False,17.0,4724.0,1705.0,65.58823529411765,4724.0,17.0,1115.0,-147.8571428571429,-0.09385681590887344,0,0.0,0,0,0,16.429908709097518
2006-09-12,8,597,1310.4285714285713,1557.0124017000048,4424.453374828581,False,1132.0,737.0,383.0,-0.4726148409893993,4724.0,17.0,-535.0,-713.4285714285713,-0.4582035223788763,0,0.0,1,0,0,0.2785249430799565
2006-09-13,8,565,1288.0,1567.9934098500962,4423.986819700192,False,597.0,17.0,722.0,-0.05360134003350081,4724.0,17.0,-32.0,-723.0,-0.46109887378808034,0,0.0,2,0,0,0.17478494083420332
